Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",91.250000,-9.660000,270.000000,bottom
"C2","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",92.390000,-15.770000,90.000000,bottom
"C3","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",107.070000,-17.890000,180.000000,bottom
"C4","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",110.560000,-2.660000,90.000000,bottom
"C5","10u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",96.550000,-17.880000,-0.000000,bottom
"C6","4.7n","C_0805_2012Metric",93.840000,21.670000,180.000000,bottom
"C7","22pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",104.980000,2.590000,90.000000,bottom
"C8","22pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",97.040000,2.480000,270.000000,bottom
"C9","4.7n","C_0805_2012Metric",95.280000,14.980000,180.000000,bottom
"D1","1N4148W","D_SOD-123",4.920000,-48.610000,75.000000,bottom
"D2","1N4148W","D_SOD-123",8.271171,3.875818,75.000000,bottom
"D3","1N4148W","D_SOD-123",29.301657,8.759122,75.000000,bottom
"D4","1N4148W","D_SOD-123",49.017344,8.735523,75.000000,bottom
"D5","1N4148W","D_SOD-123",66.103429,-1.101882,75.000000,bottom
"D6","1N4148W","D_SOD-123",83.846915,-8.485836,75.000000,bottom
"D7","1N4148W","D_SOD-123",196.620000,-48.180000,105.000000,bottom
"D8","1N4148W","D_SOD-123",3.340669,-14.525068,75.000000,bottom
"D9","1N4148W","D_SOD-123",24.371155,-9.641764,75.000000,bottom
"D10","1N4148W","D_SOD-123",44.086842,-9.665363,75.000000,bottom
"D11","1N4148W","D_SOD-123",61.172927,-19.502768,75.000000,bottom
"D12","1N4148W","D_SOD-123",78.916413,-26.886722,75.000000,bottom
"D14","1N4148W","D_SOD-123",-1.589833,-32.925954,75.000000,bottom
"D15","1N4148W","D_SOD-123",19.440653,-28.042650,75.000000,bottom
"D16","1N4148W","D_SOD-123",39.156340,-28.066249,75.000000,bottom
"D17","1N4148W","D_SOD-123",56.242425,-37.903654,75.000000,bottom
"D18","1N4148W","D_SOD-123",73.985911,-45.287608,75.000000,bottom
"D19","1N4148W","D_SOD-123",133.332115,-4.212734,105.000000,bottom
"D20","1N4148W","D_SOD-123",151.075601,3.171220,105.000000,bottom
"D21","1N4148W","D_SOD-123",168.161686,13.008625,105.000000,bottom
"D22","1N4148W","D_SOD-123",187.877373,13.032224,105.000000,bottom
"D23","1N4148W","D_SOD-123",208.907859,8.148921,105.000000,bottom
"D25","1N4148W","D_SOD-123",138.262617,-22.613620,105.000000,bottom
"D26","1N4148W","D_SOD-123",156.006103,-15.229666,105.000000,bottom
"D27","1N4148W","D_SOD-123",173.092188,-5.392261,105.000000,bottom
"D28","1N4148W","D_SOD-123",192.807875,-5.368662,105.000000,bottom
"D29","1N4148W","D_SOD-123",213.838361,-10.251965,105.000000,bottom
"D31","1N4148W","D_SOD-123",143.193119,-41.014506,105.000000,bottom
"D32","1N4148W","D_SOD-123",160.936605,-33.630552,105.000000,bottom
"D33","1N4148W","D_SOD-123",178.022690,-23.793147,105.000000,bottom
"D34","1N4148W","D_SOD-123",197.738377,-23.769548,105.000000,bottom
"D35","1N4148W","D_SOD-123",218.768863,-28.652851,105.000000,bottom
"D37","1N4148W","D_SOD-123",48.024921,-68.571798,75.000000,bottom
"D38","1N4148W","D_SOD-123",67.980435,-77.907416,65.000000,bottom
"D39","1N4148W","D_SOD-123",85.958453,-89.948575,55.000000,bottom
"D40","1N4148W","D_SOD-123",148.214301,-70.929990,115.000000,bottom
"D41","1N4148W","D_SOD-123",169.154109,-64.298696,105.000000,bottom
"D42","1N4148W","D_SOD-123",128.797343,-80.478829,125.000000,bottom
"L4","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",57.810000,13.630000,0.000000,bottom
"L5","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",13.990000,5.890000,0.000000,bottom
"L6","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-2.670000,-20.230000,0.000000,bottom
"L7","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",25.720000,-61.550000,0.000000,bottom
"L8","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",75.090000,-72.700000,0.000000,bottom
"L9","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",125.910000,-71.950000,0.000000,bottom
"L10","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",175.950000,-61.440000,0.000000,bottom
"L11","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",202.310000,-20.030000,0.000000,bottom
"L12","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",187.040000,6.670000,0.000000,bottom
"L13","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",136.890000,11.840000,0.000000,bottom
"R1","10k","R_0805_2012Metric",111.760000,-13.980000,90.000000,bottom
"R2","10k","R_0805_2012Metric",92.490000,2.110000,270.000000,bottom
"R3","1M","R_0805_2012Metric",108.320000,20.990000,0.000000,bottom
"R4","22R","R_0805_2012Metric",106.440000,9.320000,90.000000,bottom
"R5","22R","R_0805_2012Metric",109.680000,9.300000,90.000000,bottom
"R6","5.1k","R_0805_2012Metric",98.560000,13.940000,90.000000,bottom
"R7","5.1k","R_0805_2012Metric",104.050000,13.930000,90.000000,bottom
"R8","1.5K","R_0805_2012Metric",101.140000,13.940000,90.000000,bottom
